scaledW75,scaledW100,scaledW150,Actual (in cm)
575.0084918,477.0878821,428.9743873,47
663.5490253,471.9523234,430.1457115,43
577.0917945,451.046478,421.7691013,42
633.3547489,514.5875506,336.4647832,48
748.9612308,554.7602058,433.2994488,48
720.836344,482.3096649,512.4537076,49
574.5719697,678.1538013,467.5482603,49
643.7575849,469.796286,420.6113732,43
467.1579398,585.4203736,441.0519822,42
630.2160813,468.7604166,433.3920303,44
514.6212874,400.0122069,398.8705738,42
630.8732409,493.7543952,468.42308,46
656.2706677,563.1974653,510.0350676,46
638.5493134,507.8302818,411.2112628,48
611.4618824,479.0145257,417.9401388,46
662.5073702,534.9484821,478.3997474,46
562.0592723,501.1815755,420.598519,45
609.3785613,501.0892939,453.1116442,46
639.0766603,507.4850807,438.0371686,45
696.5620375,530.7653069,487.3065582,47
749.7458381,607.2305814,499.3413226,53
716.8561763,594.2693927,430.0186043,47
822.213611,609.5835553,462.314227,43
736.0163797,583.9368307,417.263173,48
848.4233743,642.3598853,386.003598,48
892.2110487,695.01239,499.3159767,49
741.6966287,741.6966287,453.0004907,49
765.7084593,594.704969,409.6342543,43
799.6183117,623.0236307,441.800357,42
857.384265,683.560125,465.3612693,44
624.7523953,502.5049473,376.9422297,42
767.719422,627.4295003,429.269664,46
779.7322903,620.511975,435.6799283,48
727.5097557,583.5078787,404.1982463,46
887.5034897,748.996959,479.111446,46
783.2469457,583.7893457,412.0449003,45
808.623041,641.0541667,454.7733257,45
855.828968,694.1620847,485.336195,47
993.665828,745.6812693,578.573053,53
