S.no,W75,W100,W150,Actual (in cm)
1,552.0081521,458.0043668,311.0064308,47
2,637.0070643,429.004662,314.0063694,43
3,554.0081227,433.0046189,283.007067,42
4,608.0205589,494.0040486,323.0061919,48
5,719.0027816,532.0150374,354.0056497,48
6,692.0028902,463.0172783,350.0058823,49
7,551.0145189,651.0276492,331.0241683,49
8,618.0072815,451.0044346,286.0157338,43
9,562.0035587,448.0044643,288.0069444,42
10,605.007438,450.0099999,296.0067567,44
11,494.0364359,384.0117186,280.0071428,42
12,605.007438,474.0042194,304.0065789,46
13,630.019841,468.0170937,325.4023731,46
14,613.0073409,487.0092402,301.0066444,48
15,587.0034071,445.0044944,303.0066006,46
16,636.0070754,513.0155943,321.0062305,46
17,539.0148421,432.0185181,286.0069929,45
18,585.0034188,462.004329,314.0063694,46
19,579.0034542,441.0045351,311.0063897,45
20,668.002994,509.0039293,345.0130432,47
21,719.0062587,521.0038388,375.0053333,52
